"","City","Distribution","latitude","longitude","taxLev","marker-color","marker-size"
"200","Rush Valley",306.57,40.3592099997418,-112.453509999986,4,"#5500AA","small"
"202","Naples",4814.69,40.4237399997014,-109.499350000202,6,"#8D0071","small"
"203","Vernal",33085.35,40.4557100000167,-109.528959999604,8,"#C60038","small"
"204","Ballard",718.17,40.3022899999837,-109.952960000304,4,"#5500AA","small"
"206","Alpine",5773.5,40.4538600001391,-111.777829999655,6,"#8D0071","small"
"207","American Fork",32928.84,40.377829999555,-111.797480000202,8,"#C60038","small"
"208","Cedar Fort",519.17,40.3237900004083,-112.103509999787,4,"#5500AA","small"
"209","Eagle Mountain",12536.99,40.3802400000761,-111.987379999887,7,"#AA0055","small"
"210","Fairfield",67.37,40.2659899996389,-112.093790000308,2,"#1C00E2","small"
"211","Genola",1054.27,40.0182700000606,-111.84339999991,5,"#71008D","small"
"212","Goshen",953.79,39.9528800000122,-111.898119999838,5,"#71008D","small"
"213","Lehi",48275.84,40.3896600001091,-111.847469999641,8,"#C60038","small"
"214","Lindon",12924.41,40.3408700002505,-111.719380000387,7,"#AA0055","small"
"215","Mapleton",5241.38,40.1303999998603,-111.578280000122,6,"#8D0071","small"
"216","Orem",96632.15,40.2980600000691,-111.695419999833,9,"#E2001C","small"
"217","Payson",23077.29,40.0436300004243,-111.738649999598,7,"#AA0055","small"
"218","Pleasant Grove",32541.11,40.36320000028,-111.738849999827,8,"#C60038","small"
"219","Provo",119638.93,40.2337700003854,-111.668509999936,9,"#E2001C","small"
"220","Salem",6510.55,40.053069999581,-111.674419999983,6,"#8D0071","small"
"221","Santaquin",10739.58,39.975589999579,-111.780030000384,7,"#AA0055","small"
"222","Saratoga Springs",14797.19,40.3472300003644,-111.908950000142,7,"#AA0055","small"
"223","Highland",10036.31,40.4209200000581,-111.78779999987,7,"#AA0055","small"
"224","Spanish Fork",28847.12,40.1091500001725,-111.654790000358,8,"#C60038","small"
"225","Springville",28989.95,40.165960000254,-111.610640000436,8,"#C60038","small"
"226","Vineyard",71.89,40.2970799998423,-111.742580000067,2,"#1C00E2","small"
"227","Cedar Hills",5733.06,40.4153900004483,-111.764939999681,6,"#8D0071","small"
"228","Elk Ridge",1296.53,40.0146500003974,-111.680909999796,5,"#71008D","small"
"229","Woodland Hills",696.02,40.0252799995725,-111.653710000016,4,"#5500AA","small"
"231","Charleston",226.67,40.4663000000451,-111.468860000289,3,"#3800C6","small"
"235","Midway",6675.02,40.5122300002145,-111.475510000286,6,"#8D0071","small"
"236","Wallsburg",151.29,40.3876999996554,-111.423500000325,3,"#3800C6","small"
"240","Enterprise",1552.53,37.5735999998403,-113.71359999964,5,"#71008D","small"
"241","Hurricane",24884.86,37.1770000000501,-113.284859999789,7,"#AA0055","small"
"242","Ivins",5321.85,37.168389999599,-113.671849999778,6,"#8D0071","small"
"243","La Verkin",2186.49,37.2108800003119,-113.270150000422,5,"#71008D","small"
"244","Leeds",719.68,37.2395199999482,-113.357840000016,4,"#5500AA","small"
"245","New Harmony",90.48,37.4780300001845,-113.309150000272,3,"#3800C6","small"
"246","Rockville",128.17,37.1612399999262,-113.036939999981,3,"#3800C6","small"
"247","St. George",70150.72,37.1090699997808,-113.583300000095,8,"#C60038","small"
"248","Santa Clara",5472.26,37.1329199997584,-113.653740000101,6,"#8D0071","small"
"249","Springdale",7894.06,37.1831700003954,-113.003660000409,6,"#8D0071","small"
"250","Toquerville",682.45,37.2541900001685,-113.285039999996,4,"#5500AA","small"
"251","Virgin",1355.58,37.203609999602,-113.187179999957,5,"#71008D","small"
"252","Washington",23750.7,37.1302699998608,-113.509379999687,7,"#AA0055","small"
"253","Hildale",1024.31,37.0035899999787,-112.983690000393,5,"#71008D","small"
"255","Bicknell",511.13,38.3405799998673,-111.541859999639,4,"#5500AA","small"
"256","Hanksville",1468.04,38.3744099996219,-110.711639999786,5,"#71008D","small"
"257","Loa",595.05,38.4029700000656,-111.642779999597,4,"#5500AA","small"
"258","Lyman",109.58,38.3934800004018,-111.589500000425,3,"#3800C6","small"
"259","Torrey",1804.26,38.2990300002345,-111.419979999877,5,"#71008D","small"
"261","Farr West",6039.31,41.2961800004069,-112.027729999939,6,"#8D0071","small"
"262","Harrisville",12279.07,41.2816999999552,-111.984990000288,7,"#AA0055","small"
"263","Hooper",3344.98,41.1610900003034,-112.122850000427,6,"#8D0071","small"
"264","Huntsville",1063.08,41.260669999621,-111.77127000021,5,"#71008D","small"
"265","Marriott-Slaterville",3223.09,41.2672799995725,-112.017380000187,6,"#8D0071","small"
"266","North Ogden",13794.8,41.3058399998163,-111.964249999837,7,"#AA0055","small"
"267","Ogden",170942.45,41.2223600001141,-111.970460000229,9,"#E2001C","small"
"268","Plain City",3507.98,41.2978700001006,-112.080140000361,6,"#8D0071","small"
"269","Pleasant View",6441.95,41.319520000248,-111.990849999828,6,"#8D0071","small"
"270","Riverdale",17839.23,41.1766900002435,-111.992690000143,7,"#AA0055","small"
"271","Roy",44028.56,41.1725900000287,-112.026020000223,8,"#C60038","small"
"272","South Ogden",19770.71,41.1918400001161,-111.966910000196,7,"#AA0055","small"
"273","Uintah",736.01,41.1442099997918,-111.92366999997,4,"#5500AA","small"
"274","Washington Terrace",7837.04,41.1829399997814,-111.97407000033,6,"#8D0071","small"
"275","West Haven",7545.16,41.2220300001845,-112.029510000186,6,"#8D0071","small"
